GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
TTYH2,-0.8220715023805534,0.0020825283475082628,7.90752242194596,8.729593924326513,0.4429487615021118,down
LINC00574,-1.8047753448119521,0.0021430558994871554,3.426909278002628,5.23168462281458,0.4429487615021118,down
GBP1,-0.9551584120865115,0.0021621237997485527,10.878703415771474,11.833861827857985,0.4429487615021118,down
ABR,-0.503947031308627,0.002296019352933745,8.522830395561446,9.026777426870073,0.4429487615021118,down
PTPRF,1.1165446331367042,0.002306098289649965,4.144371498867294,3.0278268657305896,0.4429487615021118,up
MT1G,-0.8589753913584453,0.0023064215785319406,8.68511107185916,9.544086463217605,0.4429487615021118,down
SLC45A4,-0.7162315525002603,0.002312663909062649,7.02709145349943,7.743323005999691,0.4429487615021118,down
FGFR3,-1.4880860807736593,0.0023468977501492484,2.5308147992800465,4.018900880053706,0.4429487615021118,down
VAMP3,-0.8470456537124385,0.002353932350086838,9.895473101473481,10.74251875518592,0.4429487615021118,down
TMEM243,0.5584309736052706,0.0023721244104043335,9.76613647108246,9.207705497477189,0.4429487615021118,up
MKL1,-0.4978895344115202,0.002379523178406066,8.064855552750421,8.562745087161941,0.4429487615021118,down
FBLN2,-0.5153607927418977,0.002405254608386382,2.179862895980993,2.6952236887228906,0.4429487615021118,down
PIK3AP1,-0.8758771247384729,0.0024305131273083666,10.868416276838072,11.744293401576545,0.4429487615021118,down
LTB4R,-0.6294788459008718,0.002442474602937568,6.611886826431759,7.2413656723326305,0.4429487615021118,down
ADAR,-0.43901634719330573,0.0024919635458671595,12.229016137627292,12.668032484820598,0.4429487615021118,down
TEAD3,-1.0243915449818655,0.0025482824195931777,2.7026629137439078,3.7270544587257732,0.4429487615021118,down
ZNF426,-0.4693579248338935,0.002548476297160558,6.58149993002574,7.0508578548596335,0.4429487615021118,down
AOC4P,-0.663555172991193,0.00255069000946167,3.1295616537717534,3.7931168267629465,0.4429487615021118,down
METTL7A,0.7029018293398526,0.00260348267695843,11.281878084413005,10.578976255073153,0.4429487615021118,up
RHCG,0.7707834841487324,0.0026204436956679413,2.9884152791925915,2.217631795043859,0.4429487615021118,up
RGS3,-0.6490779100416226,0.00262483954752653,7.9190623742430475,8.56814028428467,0.4429487615021118,down
GCH1,-0.6893105127129893,0.002631842761976323,11.70728923599666,12.396599748709649,0.4429487615021118,down
B4GALT5,-0.8436040884509488,0.002688816406677453,9.762589560603924,10.606193649054873,0.4429487615021118,down
EPN1,-0.9109673562456226,0.0027107046519653922,6.361083780067993,7.272051136313616,0.4429487615021118,down
C3AR1,-1.9977930701510314,0.0027218625656616254,7.890822872686945,9.888615942837976,0.4429487615021118,down
FDX1,0.693083697444191,0.002746290362219548,10.176965478258094,9.483881780813903,0.4429487615021118,up
SELPLG,-0.5875706854831542,0.0027589703162906962,10.514422382219042,11.101993067702196,0.4429487615021118,down
WSB1,-0.547560407645415,0.0027603053341804158,11.386123777630948,11.933684185276363,0.4429487615021118,down
RIPK3,-0.8835090313331335,0.002813287553846704,6.460634334157122,7.344143365490256,0.4429487615021118,down
MYD88,-0.8175490738542326,0.0028236975089299112,11.26682986970641,12.084378943560642,0.4429487615021118,down
LINC01333,1.269376139768292,0.0028596489405887833,3.2081786861752386,1.9388025464069467,0.4429487615021118,up
FCGR3B,-1.756679479773199,0.0028830620551964525,8.102022178957597,9.858701658730796,0.4429487615021118,down
